Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,83.947,3.7787,502.6911,0.4064,88.7763,123.696,88.4276,0.6014,0.5353,1462.0065,0.7724
2,regdgcnn,79.489,1.4418,686.4652,0.4433,101.1644,140.6399,82.8586,0.5485,0.5502,1509.1927,0.7876
3,transolver_pp,77.8867,1.7411,479.9549,0.4378,88.0196,122.6396,89.3119,0.5961,0.5443,1468.5028,0.7581
4,abupt,65.0971,8.7512,362.7528,0.8336,9.0862,14.935,71.3935,0.6924,0.472,316.775,0.9448
5,pointnet,44.5621,3.6682,447.0934,0.3939,92.9382,128.5159,128.8372,0.2499,0.7978,1465.1208,0.5676
6,geofno,39.5228,1.5458,254.8392,0.3686,95.2153,131.218,114.4586,0.3322,0.741,1559.3467,0.6101
