Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,81.3236,3.7787,2407.7249,0.1946,0.3467,0.5414,82.5945,0.6741,0.4789,9.5136,0.6649
2,transolver_pp,73.1333,1.7411,3403.9235,0.1943,0.3528,0.5543,78.5404,0.6524,0.4908,9.6937,0.6881
3,abupt,71.7178,8.7512,5181.7788,0.1641,0.2308,0.4025,58.4985,0.7775,0.4032,6.7277,0.7254
4,regdgcnn,65.6729,1.4418,4479.0358,0.388,0.3872,0.609,77.4161,0.5841,0.539,9.7423,0.7419
5,geofno,47.1385,1.5458,2383.8312,0.5053,0.4779,0.7184,103.1117,0.5327,0.638,11.8179,0.5415
6,pointnet,43.4705,3.6682,2926.8136,0.1905,0.4783,0.7321,105.2234,0.5193,0.6469,10.868,0.5609
