Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::stress,100.0,0.3,3.7788,5,0,2251.7114,1,0,0.2141,2,0,0.2671,1,0.1647,0.5145,1,0.1647,78.3193,2,0.1706,0.7932,1,0.1647,0.4548,1,0.1647,22.4774,4,0.1706,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,vertical::disp_x,100.0,0.35,1.7412,3,0,3382.4872,4,0,0.224,2,0,0.1038,1,0.1324,0.1905,1,0.1324,26.6865,2,0.1463,0.9734,1,0.1324,0.1622,1,0.1324,4.5703,2,0.1853,0.9619,2.0,0.139
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,L,vertical::disp_y,100.0,0.4,1.4418,1,0,4161.4285,5,0,0.253,4,0,0.2019,3,0.1316,0.3483,3,0.1316,70.1039,3,0.1382,0.9036,3,0.1316,0.3105,3,0.1316,4.9763,1,0.1974,0.9578,3.0,0.1382
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_z,100.0,0.35,3.7788,5,0,2053.2433,1,0,0.224,2,0,0.1643,2,0.1524,0.2453,1,0.1362,33.4698,1,0.1362,0.9553,1,0.1362,0.2071,1,0.1362,3.2589,1,0.1577,0.9676,1.0,0.145
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,vertical::stress,100.0,0.3,1.7412,3,0,3382.4872,4,0,0.224,2,0,0.3863,1,0.1667,0.6404,1,0.1667,66.413,1,0.1667,0.7281,1,0.1667,0.5214,1,0.1667,16.4953,1,0.1667,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,diagonal::disp_x,100.0,0.35,3.7788,5,0,1376.8831,2,0,0.2223,2,0,0.3356,1,0.1334,0.553,1,0.1334,70.0536,2,0.1742,0.7363,1,0.1334,0.5021,1,0.1334,7.1258,2,0.1524,0.8712,1.0,0.1399
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,M,diagonal::disp_y,100.0,0.4,1.4418,1,0,1511.5356,3,0,0.2489,4,0,0.2728,3,0.1346,0.4532,3,0.1346,73.4056,3,0.1411,0.8367,3,0.1346,0.4042,3,0.1346,5.7986,1,0.1861,0.8376,3.0,0.1346
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,M,diagonal::disp_z,100.0,0.45,1.4418,1,0,1511.5356,3,0,0.2489,4,0,0.2385,1,0.1235,0.3494,1,0.1235,44.0173,1,0.1822,0.9007,1,0.1235,0.3004,1,0.1235,3.9101,3,0.1619,0.8376,3.0,0.1619
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::stress,100.0,0.4,1.7412,3,0,1749.5866,4,0,0.2226,3,0,0.472,1,0.1647,0.7301,1,0.1647,82.6117,1,0.1647,0.6222,1,0.1647,0.6081,1,0.1647,19.6735,1,0.1766,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_x,100.0,0.35,1.7412,3,0,1746.1389,4,0,0.2209,2,0,0.2441,1,0.1329,0.3515,1,0.1329,59.5678,3,0.1849,0.9066,1,0.1329,0.2985,1,0.1329,6.1514,1,0.1394,0.8957,1.0,0.1441
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_y,100.0,0.4,1.7412,3,0,1746.1389,4,0,0.2209,2,0,0.3303,2,0.141,0.5486,2,0.141,73.1297,2,0.141,0.7784,2,0.141,0.4707,2,0.141,11.2476,1,0.1475,0.8957,1.0,0.1475
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_z,100.0,0.35,1.7412,3,0,1746.1389,4,0,0.2209,2,0,0.1466,1,0.1426,0.283,1,0.1383,27.5656,1,0.1426,0.9442,1,0.1383,0.2359,1,0.1383,5.3652,2,0.1574,0.8957,1.0,0.1426
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::stress,100.0,0.35,1.7412,3,0,1746.1389,4,0,0.2209,2,0,0.4499,1,0.1647,0.7348,1,0.1647,78.2051,2,0.1766,0.6448,1,0.1647,0.596,1,0.1647,16.9649,1,0.1647,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_1::mode_x,100.0,0.45,3.7785,5,0,905.3086,2,0,0.1954,3,0,0.8634,2,0.1092,1.192,2,0.1092,194.3371,4,0.1092,-0.0003,2,0.1092,1.0002,2,0.1092,15.5936,3,0.333,0.1055,3.0,0.1211
