Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,regdgcnn,81.0585,1.4418,769.7379,0.2503,0.3777,0.5998,72.4454,0.6978,0.5225,10.2797,0.8378
2,transolver,79.5187,3.7788,735.1508,0.2244,0.4021,0.616,75.9556,0.6896,0.5359,10.2416,0.8217
3,transolver_pp,43.9887,1.7412,762.4015,0.3287,0.4265,0.6574,79.2501,0.6492,0.5725,10.8269,0.7867
4,abupt,41.6812,8.7512,1361.1365,0.2494,0.4772,0.7338,85.5374,0.5608,0.6385,11.3029,0.7419
5,pointnet,40.8281,3.6682,486.5716,0.2322,0.6007,0.9456,121.475,0.2611,0.825,13.0331,0.4367
