Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,18139.8905,0.4822,0.4866,37.5122,8.6835,2.7795,106.0143,0.9771,0.6533,0.8595,0.1187,0.4067,0.0134,0.0039
2,pointflow,63.5777,1.4268,173784.4907,0.157,0.4863,123.3757,8.8275,2.3116,105.2899,0.9831,0.3513,0.1593,0.322,0.232,0.0476,0.0332
3,atlasnet,40.7795,28.7681,1670.0902,0.0046,0.4985,126.6649,35.7314,2.6169,122.9186,0.9825,0.0,0.0,0.0,0.0,0.0481,0.299
4,gan3d,40.2621,74.9842,10761.4612,0.0383,0.4077,274.043,38.194,12.6978,136.2677,0.7872,0.0,0.0,0.0,0.0,0.051,0.0786
5,diffusionpointcloud,40.2581,3.8798,470.3084,0.0304,0.5511,351.3932,72.377,6.5034,113.1111,0.9189,0.0,0.0,0.0,0.0,0.1172,0.1135
6,shapegf,39.0,4.8622,303.6312,0.3882,0.4351,391.275,118.8561,97.1871,587.2951,0.5013,0.0,0.0,0.0,0.0,0.1122,0.3823
