Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,6829.5054,0.3919,0.4844,42.5052,7.5198,2.9294,105.7436,0.9753,0.578,0.6767,0.222,0.3947,0.0143,0.004
2,pointflow,61.7564,1.4268,42136.824,0.1885,0.487,176.7027,14.8783,2.4427,105.8479,0.9826,0.09,0.0281,0.146,0.0313,0.0617,0.0339
3,atlasnet,40.8443,28.7681,976.4003,0.0045,0.4935,178.7003,27.252,2.556,142.4051,0.9861,0.0,0.0,0.0007,0.0,0.0623,0.2948
4,gan3d,40.4475,74.9842,42243.6342,0.2188,0.4409,279.4196,35.4,14.442,133.8703,0.7601,0.0,0.0,0.0,0.0,0.0579,0.0734
5,diffusionpointcloud,40.2098,3.8798,215.6054,0.0206,0.584,375.9709,80.9093,8.5023,117.5286,0.8767,0.0,0.0,0.0,0.0,0.1208,0.1175
6,shapegf,39.0,4.8622,112.8289,0.2767,0.6118,382.9711,256.535,84.44,451.9848,0.3122,0.0,0.0,0.0,0.0,0.1184,0.3498
