Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,pointflow,86.5107,1.4268,336907.4738,0.191,0.4884,101.278,7.1277,2.3692,106.2714,0.9819,0.5487,0.3391,0.39,0.4533,0.0388,0.0336
2,deepsdf,73.5219,2.1509,32129.301,0.3867,0.4792,43.7604,10.1279,3.3536,106.6188,0.9666,0.562,0.6008,0.186,0.3413,0.0135,0.0051
3,diffusionpointcloud,40.7203,3.8798,563.3368,0.023,0.5309,249.2235,22.3622,3.018,107.5947,0.9825,0.002,0.0004,0.0447,0.002,0.0804,0.0267
4,atlasnet,40.5273,28.7681,1545.934,0.0043,0.4961,120.2337,29.5537,2.0548,124.606,0.9892,0.0,0.0,0.0,0.0,0.0424,0.3568
5,gan3d,39.9081,74.9842,85676.0632,0.2173,0.4274,312.7616,100.045,65.1189,212.3921,0.6355,0.0,0.0,0.0,0.0,0.034,0.1118
6,shapegf,39.6848,4.8622,329.9314,0.2773,0.517,339.2913,64.9881,22.5278,382.1806,0.7329,0.0,0.0,0.0,0.0,0.0893,0.3853
