Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,deepsdf,100.0,2.1509,5149.0325,0.8931,0.4476,174.3754,232.7187,537.384,740.735,0.3702,0.029,0.006,0.582,0.019
2,pointflow,63.1646,1.4268,13364.9568,0.082,0.5794,208.9413,21.6794,2.9251,104.8454,0.9734,0.021,0.0048,0.023,0.01
3,atlasnet,41.6072,28.7681,1010.6638,0.005,0.5718,175.5573,37.6082,4.2585,120.0272,0.9673,0.0,0.0,0.0,0.0
4,diffusionpointcloud,40.6546,3.8798,159.9833,0.03,0.721,409.5802,103.848,11.0485,127.9269,0.8116,0.0,0.0,0.0,0.0
5,gan3d,40.1036,74.9842,3115.3488,0.038,0.5658,339.4765,242.8106,166.9628,433.4312,0.4888,0.0,0.0,0.0,0.0
6,shapegf,40.0,4.8622,109.141,0.3882,0.7594,383.3558,380.3634,106.4918,464.1626,0.2245,0.0,0.0,0.0,0.0
