Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,4619.8835,0.4573,0.2622,80.0762,4.8719,3.888,0.156,0.979,0.672,0.6308,0.156,0.468,0.0047,0.0077
2,pointflow,61.6408,1.4268,43269.9281,0.3887,0.2757,155.482,5.9125,3.8906,0.236,0.998,0.022,0.0056,0.274,0.026,0.0131,0.0155
3,atlasnet,40.5176,28.7681,829.7915,0.0046,0.2986,166.251,14.7201,4.4452,0.104,1.0,0.0,0.0,0.014,0.0,0.0234,0.2966
4,gan3d,40.4267,74.9842,22701.5326,0.2156,0.2537,255.9194,23.4869,16.8964,0.008,1.0,0.0,0.0,0.0,0.0,0.0674,0.0938
5,diffusionpointcloud,40.0,3.8798,190.3855,0.0199,0.39,354.0642,56.5684,8.9107,0.004,1.0,0.0,0.0,0.0,0.0,0.0562,0.153
6,shapegf,39.0,4.8622,85.6032,0.2802,0.2467,343.7376,93.3075,44.546,0.034,1.0,0.0,0.0,0.0,0.0,0.0469,0.3942
