Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,2965.9415,0.4463,0.2601,96.2667,4.8569,3.8433,0.11,0.959,0.706,0.696,0.18,0.472,0.0004,0.0034
2,pointflow,47.6965,1.4268,11657.1702,0.0766,0.2767,220.4643,10.411,4.0247,0.248,1.0,0.0,0.0,0.016,0.0,0.0218,0.0339
3,atlasnet,40.98,28.7681,1325.1858,0.0265,0.269,159.4193,17.669,4.3162,0.142,1.0,0.0,0.0,0.0,0.0,0.0113,0.2806
4,gan3d,40.0593,74.9842,3616.6472,0.211,0.3112,386.43,117.7237,17.2956,0.036,1.0,0.0,0.0,0.0,0.0,0.0455,0.2458
5,diffusionpointcloud,40.0,3.8798,121.2312,0.021,0.4559,364.3189,61.4802,12.8302,0.004,1.0,0.0,0.0,0.0,0.0,0.0593,0.1376
6,shapegf,39.0,4.8622,35.4272,0.2728,0.5931,392.8697,275.1305,70.0486,0.044,1.0,0.0,0.0,0.0,0.0,0.045,0.4839
