Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,5463.9356,3.5512,1.7696,158.9211,0.37,13.1164,0.4093,0.026,0.006,0.136,0.02
2,vae,61.3444,50.718,5619.8362,0.0493,1.0387,101.9902,0.0169,22.5483,0.9888,0.112,0.0224,0.0,0.002
3,r1gan,38.356,23.951,2646.651,0.0496,1.3464,125.306,0.1071,20.0411,0.7945,0.0,0.0,0.0,0.0
4,dcgan,38.2628,23.951,2542.1856,0.0456,1.3233,135.2298,0.0947,20.2767,0.8137,0.0,0.0,0.0,0.0
5,wgan_gp,38.2628,23.9471,2789.6116,0.0613,1.3756,212.0834,0.096,20.8573,0.7896,0.0,0.0,0.0,0.0
6,vqvae,38.1743,4.8899,1049.05,0.041,1.3843,173.774,0.0703,21.5776,0.84,0.0,0.0,0.0,0.0
7,gan,38.1275,76.3651,13537.6176,0.0419,1.2652,206.8392,0.1185,15.9038,0.7178,0.0,0.0,0.0,0.0
8,wgan_cp,37.9725,23.9471,1544.3359,0.0547,1.1035,285.8413,0.0971,19.0408,0.9007,0.0,0.0,0.0,0.0
9,lsgan,37.7778,39.0898,3005.2584,0.0564,1.0255,379.4345,0.0111,6.9288,0.9858,0.0,0.0,0.0,0.0
