Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver_pp,99.8357,1.7412,647.4423,0.231,3.1679,5.5831,79.3721,0.8512,0.3609,180.1236,0.9606
2,regdgcnn,70.8669,1.4418,908.8806,0.2564,2.7516,4.883,74.8833,0.8846,0.3183,163.9411,0.9663
3,geofno,57.5602,1.5458,356.9114,0.2067,4.9737,8.0084,110.5831,0.6624,0.5552,149.6325,0.7997
4,transolver,46.941,3.7788,716.3559,0.2402,2.9698,5.2942,77.0326,0.8692,0.3356,180.0337,0.9653
5,pointnet,40.0,3.6682,697.9687,0.2466,5.623,9.3577,141.6971,0.287,0.8263,134.3562,0.4304
