Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,regdgcnn,100.0,1.4418,13385.8649,0.2761,0.1987,0.3216,47.2437,0.9087,0.2705,7.8464,0.9707
2,transolver_pp,96.1466,1.7412,16870.5486,0.5843,0.1837,0.311,43.1581,0.915,0.2617,7.817,0.9742
3,transolver,59.2683,3.7788,25279.7321,1.0386,0.1735,0.3034,40.5229,0.919,0.255,8.6877,0.9768
4,pointnet,39.8048,3.6682,23325.8105,0.9991,0.2802,0.4514,57.5627,0.8262,0.3811,9.7262,0.9462
5,geofno,38.6494,1.5458,17436.864,1.2855,0.2973,0.4608,63.2493,0.8236,0.3889,11.9371,0.9201
