Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver_pp,100.0,1.7412,1470.4078,0.5334,0.3229,0.5321,64.9938,0.7762,0.4497,11.0482,0.9052
2,regdgcnn,63.8463,1.4418,2037.9853,0.4927,0.2841,0.4746,58.5931,0.8211,0.401,10.0044,0.9305
3,transolver,47.461,3.7788,1966.6571,0.6534,0.3192,0.5132,64.7084,0.7901,0.4334,10.3332,0.9126
4,geofno,42.2819,1.5458,1001.0643,0.3411,0.6157,0.9178,115.6624,0.3784,0.7779,14.687,0.4761
5,pointnet,40.0,3.6682,1724.3113,1.1456,0.6093,0.963,118.2911,0.2933,0.8187,14.7868,0.4525
