Model Name,Domain,Task,Parameters (M),Resolution,Dataset,Data Scale,Data Size,Training Time (s),Inference Time (s),MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,MS-SSIM ↓,Precision ↑,Recall ↑,Density ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepjeb_3d_3d,Small,20,145.7171,0.0195,437.4261,80.531,6.133,0.032,1.0,0.6437,0.0,0.0,0.0,0.0,0.17,0.1134
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepjeb_3d_3d,Medium,50,222.9035,0.0205,424.9689,77.4149,5.2087,0.034,1.0,0.6195,0.0,0.0,0.0,0.0,0.1687,0.1032
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepjeb_3d_3d,Large,100,323.1164,0.0199,414.2082,72.4178,4.6728,0.044,1.0,0.5915,0.0,0.0,0.0,0.0,0.167,0.0841
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepjeb_3d_3d,Extra Large,200,532.8326,0.0199,328.6042,44.5545,3.8362,0.076,0.996,0.5773,0.076,0.0,0.0168,0.012,0.1524,0.0314
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepwheel_3d_3d,Small,20,121.2312,0.021,364.3189,61.4802,12.8302,0.004,1.0,0.4559,0.0,0.0,0.0,0.0,0.0593,0.1376
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepwheel_3d_3d,Medium,50,190.3855,0.0199,354.0642,56.5684,8.9107,0.004,1.0,0.39,0.0,0.0,0.0,0.0,0.0562,0.153
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepwheel_3d_3d,Large,100,338.8661,0.0197,326.0688,48.3068,7.1289,0.004,1.0,0.3686,0.0,0.0,0.0,0.0,0.0507,0.1509
diffusionpointcloud,dimension_3d,generation,3.8798,8192,deepwheel_3d_3d,Extra Large,200,617.8443,0.0294,213.162,8.4768,4.3491,0.03,1.0,0.3173,0.0,0.154,0.0,0.0,0.0223,0.022
diffusionpointcloud,dimension_3d,generation,3.8798,8192,drivaernet_3d_3d,Small,20,63.3818,0.0197,381.7246,127.7804,15.0647,0.008,1.0,0.7914,0.0,0.0,0.0,0.0,0.1406,0.2704
diffusionpointcloud,dimension_3d,generation,3.8798,8192,drivaernet_3d_3d,Medium,50,233.5272,0.0214,348.8752,108.4211,7.1009,0.008,1.0,0.74,0.0,0.0,0.0,0.0,0.1352,0.0975
diffusionpointcloud,dimension_3d,generation,3.8798,8192,drivaernet_3d_3d,Large,100,260.0605,0.0199,313.9014,96.9806,4.3961,0.01,1.0,0.6936,0.0,0.0,0.0,0.0,0.1317,0.107
diffusionpointcloud,dimension_3d,generation,3.8798,8192,drivaernet_3d_3d,Extra Large,200,539.3334,0.0198,205.9039,13.7367,2.2847,0.04,0.998,0.6873,0.0,0.002,0.0,0.0,0.0642,0.028
gan3d,dimension_3d,generation,74.9842,8192,deepjeb_3d_3d,Small,20,17011.2723,0.215,348.1984,217.4133,11.6097,0.224,1.0,0.5177,0.0,0.0,0.0,0.0,0.1442,0.1294
gan3d,dimension_3d,generation,74.9842,8192,deepjeb_3d_3d,Medium,50,52851.3409,0.2219,347.1741,40.2318,21.7322,0.014,1.0,0.4455,0.0,0.0,0.0,0.0,0.0598,0.0556
