Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1706,pointnet,transolver_pp,geofno,transolver,regdgcnn
2,Parameters (M),0.1556,regdgcnn,geofno,transolver_pp,pointnet,transolver
3,Inference Time (s),0.1174,pointnet,regdgcnn,transolver,geofno,transolver_pp
4,Training Time (s),0.0957,geofno,pointnet,transolver,transolver_pp,regdgcnn
5,MAPE (%),0.0777,transolver_pp,regdgcnn,transolver,geofno,pointnet
6,MAE,0.0766,pointnet,geofno,transolver,regdgcnn,transolver_pp
7,RMSE,0.0766,pointnet,geofno,transolver,regdgcnn,transolver_pp
8,R²,0.0766,pointnet,geofno,transolver,regdgcnn,transolver_pp
9,Rel-L2,0.0766,pointnet,geofno,transolver,regdgcnn,transolver_pp
10,MAC,0.0766,transolver_pp,regdgcnn,transolver,geofno,pointnet
