Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1499,geofno,transolver,pointnet,transolver_pp,regdgcnn
2,Inference Time (s),0.1256,pointnet,geofno,transolver_pp,transolver,regdgcnn
3,Parameters (M),0.104,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,MAC,0.0956,regdgcnn,transolver_pp,transolver,geofno,pointnet
5,Training Time (s),0.0902,transolver,pointnet,geofno,transolver_pp,regdgcnn
6,MAPE (%),0.0874,regdgcnn,transolver_pp,geofno,transolver,pointnet
7,Rel-L2,0.0872,transolver,pointnet,geofno,transolver_pp,regdgcnn
8,RMSE,0.0872,transolver,pointnet,geofno,transolver_pp,regdgcnn
9,R²,0.0872,transolver,pointnet,geofno,transolver_pp,regdgcnn
10,MAE,0.0857,pointnet,transolver,geofno,transolver_pp,regdgcnn
