Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,6482.7041,1.8568,1.7221,124.4939,0.2032,11.2226,0.5113,0.5296,0.2838,0.128,0.2887
2,vae,46.9169,50.718,4533.5539,0.0153,1.5178,155.0306,0.139,15.3778,0.7051,0.168,0.0695,0.0,0.0271
3,r1gan,44.9483,23.951,1695.6481,0.0095,2.1555,167.8398,0.225,14.1518,0.5895,0.0016,0.0003,0.0002,0.0011
4,vqvae,42.6993,4.8899,812.8116,0.0161,2.2372,208.127,0.1734,14.7363,0.6497,0.0233,0.005,0.008,0.0073
5,wgan_gp,42.173,23.9471,2027.8094,0.01,2.1039,204.4793,0.202,14.2145,0.5872,0.0004,0.0001,0.0158,0.0004
6,gan,41.6247,76.3651,5996.6776,0.0197,1.71,202.8288,0.2391,13.098,0.5458,0.0209,0.0042,0.0,0.0016
7,dcgan,39.6873,23.951,1778.9741,0.0162,1.5696,167.2256,0.1818,13.8839,0.6648,0.0002,0.0,0.0,0.0002
8,lsgan,39.5721,39.0898,3516.0215,0.0175,1.4938,222.2806,0.1589,14.0583,0.7529,0.0,0.0,0.0,0.0
9,wgan_cp,38.9237,23.9471,316.0311,0.0203,1.1214,302.6698,0.0823,13.0367,0.9061,0.0,0.0,0.0,0.0
