Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,9754.4373,1.903,1.756,142.5029,0.2258,7.2602,0.3017,0.598,0.3295,0.0507,0.3467
2,r1gan,52.0555,23.951,2499.8417,0.0142,2.0208,159.8339,0.2725,9.2196,0.3207,0.0207,0.0041,0.004,0.006
3,vqvae,47.3642,4.8899,2673.6419,0.019,2.1714,218.5427,0.1985,10.4694,0.472,0.0293,0.0063,0.0013,0.012
4,wgan_gp,42.8111,23.9471,2674.304,0.0102,1.8706,173.682,0.233,9.6981,0.3802,0.01,0.002,0.0,0.0033
5,gan,41.6187,76.3651,6457.3648,0.0159,1.7424,149.2608,0.2965,9.043,0.4037,0.002,0.0004,0.0,0.002
6,vae,40.0881,50.718,4481.3627,0.0122,1.4579,233.0198,0.1738,10.57,0.4343,0.0033,0.0007,0.0007,0.0013
7,lsgan,40.0483,39.0898,5053.2341,0.0151,1.3873,147.2643,0.18,9.2338,0.6251,0.012,0.0024,0.0,0.002
8,dcgan,40.0,23.951,2971.2629,0.0252,1.2451,133.6175,0.1692,8.9839,0.5551,0.012,0.0024,0.0,0.0007
9,wgan_cp,39.0,23.9471,236.7695,0.0199,1.0636,363.1858,0.0181,6.7031,0.9859,0.0,0.0,0.0,0.0
