Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1581,pointnet,transolver_pp,abupt,transolver,regdgcnn
2,Parameters (M),0.1394,regdgcnn,transolver_pp,pointnet,transolver,abupt
3,Training Time (s),0.1192,pointnet,transolver,transolver_pp,regdgcnn,abupt
4,Inference Time (s),0.1089,pointnet,abupt,regdgcnn,transolver,transolver_pp
5,MAE,0.0802,pointnet,transolver,abupt,regdgcnn,transolver_pp
6,MAPE (%),0.0792,transolver_pp,regdgcnn,abupt,transolver,pointnet
7,RMSE,0.0788,pointnet,transolver,abupt,regdgcnn,transolver_pp
8,R²,0.0788,pointnet,transolver,abupt,regdgcnn,transolver_pp
9,Rel-L2,0.0788,pointnet,transolver,abupt,regdgcnn,transolver_pp
10,MAC,0.0785,transolver_pp,regdgcnn,abupt,transolver,pointnet
