Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,100.0,3.7785,1530.4203,0.1963,0.7994,1.1486,186.384,-0.0002,1.0001,15.3096,0.0726
2,pointnet,80.8819,3.6681,1528.4306,0.1913,0.7993,1.1485,199.2728,0.0,1.0,15.2977,0.0004
3,transolver_pp,57.0788,1.741,2921.6626,0.2048,0.8194,1.19,172.5072,-0.0734,1.036,15.7317,0.1586
4,abupt,46.8824,8.7512,4267.0042,0.2264,0.8083,1.1669,159.3679,-0.0322,1.0159,15.6959,0.2324
5,regdgcnn,38.0,1.4417,2772.9653,0.2963,0.861,1.293,141.3355,-0.2667,1.125,16.1243,0.341
