Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver_pp,100.0,1.7405,4229.2012,2.0594,0.0716,0.1217,31.5286,0.9852,0.1218,6.6844,
2,transolver,63.8356,3.778,3525.3537,1.236,0.073,0.1216,32.2263,0.9852,0.1218,6.3491,
3,abupt,55.2069,8.7512,7154.6635,0.8276,0.1134,0.1871,43.783,0.9649,0.1874,6.7951,
4,regdgcnn,47.5846,1.4414,5982.5599,0.8045,0.0905,0.1419,36.0833,0.9798,0.1421,8.4353,
5,pointnet,39.6519,3.6678,1960.4863,1.3576,0.1558,0.2592,49.9926,0.9326,0.2595,8.656,
6,geofno,37.3333,1.5454,1869.651,0.7801,0.2179,0.3497,63.1223,0.8774,0.3501,8.9368,
