Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.2203,pointnet,transolver,transolver_pp,geofno,regdgcnn
2,MAE,0.1332,pointnet,transolver,transolver_pp,geofno,regdgcnn
3,MAPE (%),0.1303,regdgcnn,geofno,transolver_pp,transolver,pointnet
4,RMSE,0.1293,pointnet,transolver,transolver_pp,geofno,regdgcnn
5,MAC,0.1291,regdgcnn,geofno,transolver_pp,transolver,pointnet
6,Rel-L2,0.129,pointnet,transolver,transolver_pp,geofno,regdgcnn
7,R²,0.129,pointnet,transolver,transolver_pp,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,regdgcnn,transolver_pp,pointnet,geofno,transolver
