Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,36817.8948,0.4765,0.6571,7.8046,5.796,1.3151,106.9363,0.9975,0.204,0.0844,0.054,0.19,0.0209,0.0042
2,pointflow,64.1269,1.4268,164383.7989,0.1434,0.6502,67.2838,3.9311,0.8823,105.5796,1.0,0.196,0.0648,0.552,0.188,0.0263,0.0138
3,gan3d,40.6491,74.9842,13043.4383,0.0383,0.6064,232.4855,52.8079,4.4245,132.9575,0.9845,0.0,0.0,0.0,0.0,0.0324,0.0689
4,atlasnet,40.641,28.7681,1649.3847,0.0045,0.6682,98.8415,37.5308,0.9126,119.7809,0.9999,0.0,0.0,0.0,0.0,0.0242,0.2625
5,diffusionpointcloud,40.0,3.8798,397.9488,0.0304,0.6858,313.9014,96.4161,6.8132,117.6386,0.9057,0.0,0.0,0.0,0.0,0.1316,0.1067
6,shapegf,39.0,4.8622,324.7464,0.3884,0.5753,323.1721,102.8337,45.9228,755.4427,0.5332,0.0,0.0,0.0,0.0,0.1177,0.5693
