Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,pointflow,100.0,1.4268,12630.9803,0.0817,0.652,134.8389,9.0798,2.0916,0.352,0.981,0.0,0.0,0.016,0.0,0.0469,0.0626
2,atlasnet,43.2522,28.7681,1026.098,0.0047,0.6109,161.4181,30.7505,2.409,0.258,1.0,0.0,0.0,0.0,0.0,0.0644,0.2831
3,deepsdf,40.7229,2.1509,7474.5443,2.1029,0.4017,319.3579,221.1592,21.9427,0.04,1.0,0.0,0.0,0.0,0.0,0.0691,0.0038
4,diffusionpointcloud,40.5685,3.8798,63.3818,0.0197,0.7914,381.7246,127.7804,15.0647,0.008,1.0,0.0,0.0,0.0,0.0,0.1406,0.2704
5,gan3d,40.0,74.9842,18621.6503,0.219,0.6535,330.7602,268.1508,7.6606,0.244,1.0,0.0,0.0,0.0,0.0,0.0969,0.1514
6,shapegf,39.0,4.8622,69.6279,0.274,0.8024,353.4191,347.6156,63.9041,0.014,1.0,0.0,0.0,0.0,0.0,0.1358,0.4249
