Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,8873.8756,0.3643,0.5403,40.8735,15.6696,5.2567,104.6329,0.9394,0.99,1.636,0.06,0.432,0.0121,0.0004
2,pointflow,63.4041,1.4268,103089.6448,0.1078,0.5353,177.7087,17.9902,4.3605,103.3785,0.9531,0.626,0.3156,0.036,0.232,0.1003,0.0741
3,atlasnet,40.9113,28.7681,831.5486,0.0041,0.5361,149.6123,47.1461,4.6414,120.7642,0.9532,0.0,0.0,0.0,0.0,0.1097,0.4005
4,diffusionpointcloud,40.8142,3.8798,323.1164,0.0199,0.596,414.2094,72.0832,4.5773,105.0207,0.9526,0.0,0.0,0.0,0.0,0.1696,0.0833
5,gan3d,40.0,74.9842,77628.5024,0.2196,0.4185,334.5368,38.6187,18.2176,142.8115,0.7055,0.0,0.0,0.0,0.0,0.0518,0.0594
6,shapegf,39.0,4.8622,316.5384,0.2744,0.4381,445.6972,81.9673,28.8271,308.6652,0.7287,0.0,0.0,0.0,0.0,0.1626,0.324
