Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,5487.0288,0.3676,0.5218,23.5447,7.6394,6.9535,104.5066,0.9192,0.826,0.7884,0.574,0.692,0.0038,0.0
2,pointflow,43.1546,1.4268,11571.9228,0.0667,0.5123,283.2285,34.2719,4.7454,103.9255,0.9477,0.042,0.0096,0.0,0.02,0.1288,0.0688
3,atlasnet,40.2162,28.7681,861.7991,0.0047,0.5258,189.6921,44.5806,6.1025,118.8941,0.9442,0.0,0.0,0.0,0.0,0.11,0.3639
4,diffusionpointcloud,40.0,3.8798,145.7171,0.0195,0.6511,437.4275,80.0372,5.6589,110.8553,0.9342,0.0,0.0,0.0,0.0,0.1726,0.1126
5,gan3d,39.0,74.9842,17011.2723,0.215,0.5001,348.1984,216.7621,146.2229,398.3945,0.5138,0.0,0.0,0.0,0.0,0.1468,0.1286
6,shapegf,39.0,4.8622,84.5329,0.2743,0.7157,413.3026,412.7082,99.4562,417.0615,0.2852,0.0,0.0,0.0,0.0,0.168,0.3399
