Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,34410.9914,0.4526,0.5215,45.0306,17.5595,6.6103,106.1506,0.9117,0.964,1.2812,0.186,0.536,0.0042,0.0009
2,pointflow,64.7455,1.4268,68366.8471,0.1498,0.5392,142.7062,14.1427,4.6298,103.4189,0.9496,0.782,0.5488,0.154,0.398,0.0871,0.0709
3,atlasnet,41.1007,28.7681,1556.5886,0.0043,0.5374,145.3691,48.5747,3.6375,129.8659,0.9696,0.0,0.0,0.0,0.0,0.0969,0.4919
4,diffusionpointcloud,41.0122,3.8798,815.3492,0.0304,0.5841,328.6042,44.7448,4.4408,105.8025,0.954,0.004,0.0008,0.0,0.004,0.155,0.0306
5,gan3d,40.7437,74.9842,18252.6795,0.0385,0.4294,331.755,79.5841,16.3019,131.0375,0.725,0.0,0.0,0.0,0.0,0.0621,0.1082
6,shapegf,40.0,4.8622,423.7646,0.3926,0.5469,438.0407,80.5282,20.4623,174.1055,0.7232,0.0,0.0,0.0,0.0,0.1595,0.2388
