Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,8873.8756,0.3643,0.5375,40.8772,15.6485,3.2415,0.138,0.945,0.99,1.5768,0.074,0.434,0.0095,0.0004
2,pointflow,65.3097,1.4268,103089.6448,0.1078,0.5219,177.7062,17.9708,2.8367,0.338,0.929,0.664,0.396,0.09,0.226,0.0977,0.0749
3,gan3d,40.4164,74.9842,77628.5024,0.2196,0.4091,334.5454,38.723,12.4108,0.1,1.0,0.0,0.0,0.0,0.0,0.0492,0.0602
4,atlasnet,40.1167,28.7681,831.5486,0.0041,0.5328,149.61,47.153,3.8778,0.222,0.999,0.0,0.0,0.0,0.0,0.1071,0.4013
5,shapegf,40.0728,4.8622,316.5384,0.2744,0.4493,445.6851,82.2087,6.9606,0.164,1.0,0.0,0.0,0.0,0.0,0.16,0.3248
6,diffusionpointcloud,40.0,3.8798,323.1164,0.0199,0.5915,414.2082,72.4178,4.6728,0.044,1.0,0.0,0.0,0.0,0.0,0.167,0.0841
