Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,5487.0288,0.3676,0.5201,23.5481,7.5457,2.7832,0.366,0.886,0.836,0.8588,0.59,0.726,0.0012,0.0008
2,pointflow,59.0545,1.4268,11571.9228,0.0667,0.5128,283.2265,34.7306,3.172,0.26,0.987,0.166,0.0368,0.0,0.024,0.1262,0.0696
3,atlasnet,41.0848,28.7681,861.7991,0.0047,0.5183,189.6934,44.5983,4.4528,0.208,1.0,0.0,0.0,0.0,0.0,0.1074,0.3647
4,gan3d,40.7472,74.9842,17011.2723,0.215,0.5177,348.1984,217.4133,11.6097,0.224,1.0,0.0,0.0,0.0,0.0,0.1442,0.1294
5,diffusionpointcloud,40.0,3.8798,145.7171,0.0195,0.6437,437.4261,80.531,6.133,0.032,1.0,0.0,0.0,0.0,0.0,0.17,0.1134
6,shapegf,39.0,4.8622,84.5329,0.2743,0.7255,413.3026,413.6137,66.4607,0.018,1.0,0.0,0.0,0.0,0.0,0.1655,0.3407
