Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,100.0,3.778,3981.4514,0.1352,0.0909,0.152,37.9047,0.9769,0.1521,7.447,
2,transolver_pp,63.8367,1.7405,3890.8212,0.1376,0.0942,0.1577,38.6815,0.9751,0.1579,7.9455,
3,regdgcnn,47.7563,1.4414,3726.5719,0.1561,0.142,0.2234,51.099,0.95,0.2237,7.6586,
4,abupt,41.4926,8.7512,5123.1233,0.1617,0.128,0.2148,46.4692,0.9537,0.2151,8.0002,
5,pointnet,40.0,3.6678,3539.9997,0.1334,0.2197,0.3661,60.9708,0.8657,0.3665,8.9263,
