Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.1495,pointnet,transolver,regdgcnn,geofno,transolver_pp
2,Inference Time (s),0.1085,pointnet,transolver,transolver_pp,regdgcnn,geofno
3,Parameters (M),0.102,regdgcnn,geofno,transolver_pp,pointnet,transolver
4,MAPE (%),0.0934,regdgcnn,geofno,transolver_pp,transolver,pointnet
5,Rel-L2,0.0913,pointnet,transolver,geofno,transolver_pp,regdgcnn
6,RMSE,0.0913,pointnet,transolver,geofno,transolver_pp,regdgcnn
7,R²,0.0913,pointnet,transolver,geofno,transolver_pp,regdgcnn
8,Training Time (s),0.0909,pointnet,transolver,geofno,transolver_pp,regdgcnn
9,MAE,0.0909,pointnet,transolver,geofno,transolver_pp,regdgcnn
10,MAC,0.0909,regdgcnn,transolver_pp,geofno,transolver,pointnet
