Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,Training Time (s),0.122,geofno,regdgcnn,pointnet,transolver_pp,transolver
2,Inference Time (s),0.1033,geofno,regdgcnn,transolver_pp,pointnet,transolver
3,MaxAE,0.0994,pointnet,transolver,transolver_pp,geofno,regdgcnn
4,MAE,0.0977,pointnet,transolver,transolver_pp,geofno,regdgcnn
5,R²,0.0969,pointnet,transolver,transolver_pp,geofno,regdgcnn
6,RMSE,0.0969,pointnet,transolver,transolver_pp,geofno,regdgcnn
7,Parameters (M),0.096,regdgcnn,geofno,transolver_pp,pointnet,transolver
8,MAC,0.096,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,MAPE (%),0.0959,regdgcnn,geofno,transolver_pp,transolver,pointnet
10,Rel-L2,0.0958,pointnet,transolver,transolver_pp,geofno,regdgcnn
