Rank,domain,task,model,dataset,size,Group Key,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),MAE (Value),MAE (Rank),MAE (Weight),RMSE (Value),RMSE (Rank),RMSE (Weight),MAPE (%) (Value),MAPE (%) (Rank),MAPE (%) (Weight),R² (Value),R² (Rank),R² (Weight),Rel-L2 (Value),Rel-L2 (Rank),Rel-L2 (Weight),MaxAE (Value),MaxAE (Rank),MaxAE (Weight),MAC (Value),MAC (Rank),MAC (Weight)
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::disp_z,100.0,0.5,3.7788,5,0.1249,2251.7114,1,0.1249,0.2141,2,0.221,0.119,1,0.0756,0.2218,1,0.0756,47.8456,1,0.0756,0.9632,1,0.0756,0.1919,1,0.0756,4.2952,1,0.0756,0.9833,1.0,0.0756
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,torsion::stress,100.0,0.5,3.7788,5,0.1383,2251.7114,1,0.1458,0.2141,2,0.1927,0.2671,1,0.0843,0.5145,1,0.0843,78.3193,2,0.093,0.7932,1,0.0843,0.4548,1,0.0843,22.4774,4,0.093,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_x,100.0,0.5,3.7788,5,0.1259,2053.2433,1,0.1277,0.224,2,0.1822,0.1057,2,0.078,0.2112,2,0.078,26.4635,1,0.0767,0.9673,2,0.078,0.1799,2,0.078,4.6598,3,0.0951,0.9676,1.0,0.0804
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_y,100.0,0.5,3.7788,5,0.1336,2053.2433,1,0.1357,0.224,2,0.1745,0.1802,2,0.0747,0.3479,2,0.0747,59.6608,2,0.0735,0.9038,2,0.0747,0.3101,2,0.0747,6.6311,2,0.1068,0.9676,1.0,0.077
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,L,vertical::disp_z,100.0,0.5,3.7788,5,0.1308,2053.2433,1,0.176,0.224,2,0.1429,0.1643,2,0.0774,0.2453,1,0.078,33.4698,1,0.078,0.9553,1,0.078,0.2071,1,0.078,3.2589,1,0.0797,0.9676,1.0,0.081
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,L,vertical::stress,100.0,0.5,1.7412,3,0.1603,3382.4872,4,0.1449,0.224,2,0.2074,0.3863,1,0.0812,0.6404,1,0.0812,66.413,1,0.0812,0.7281,1,0.0812,0.5214,1,0.0812,16.4953,1,0.0812,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::disp_x,100.0,0.5,1.7412,3,0.1213,1749.5866,4,0.1351,0.2226,3,0.1321,0.3601,2,0.0782,0.5555,2,0.0782,74.6876,3,0.11,0.7339,2,0.0782,0.5044,2,0.0782,6.6931,1,0.0974,0.8612,2.0,0.0914
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::disp_y,100.0,0.5,1.7412,3,0.1197,1749.5866,4,0.1497,0.2226,3,0.1684,0.2089,2,0.0781,0.413,2,0.0781,58.6745,1,0.0804,0.8643,2,0.0781,0.3683,2,0.0781,7.7423,2,0.0913,0.8612,2.0,0.0781
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,M,diagonal::disp_z,100.0,0.5,1.4418,1,0.1418,1511.5356,3,0.1079,0.2489,4,0.1418,0.2385,1,0.0776,0.3494,1,0.0776,44.0173,1,0.0955,0.9007,1,0.0776,0.3004,1,0.0776,3.9101,3,0.1013,0.8376,3.0,0.1013
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,diagonal::stress,100.0,0.5,1.7412,3,0.1775,1749.5866,4,0.1291,0.2226,3,0.1623,0.472,1,0.0887,0.7301,1,0.0887,82.6117,1,0.0887,0.6222,1,0.0887,0.6081,1,0.0887,19.6735,1,0.0874,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_x,100.0,0.5,1.7412,3,0.1561,1746.1389,4,0.073,0.2209,2,0.2161,0.2441,1,0.073,0.3515,1,0.073,59.5678,3,0.1022,0.9066,1,0.073,0.2985,1,0.073,6.1514,1,0.077,0.8957,1.0,0.0839
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_y,100.0,0.5,1.7412,3,0.1499,1746.1389,4,0.0918,0.2209,2,0.2373,0.3303,2,0.073,0.5486,2,0.073,73.1297,2,0.073,0.7784,2,0.073,0.4707,2,0.073,11.2476,1,0.078,0.8957,1.0,0.078
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::disp_z,100.0,0.5,1.7412,3,0.1528,1746.1389,4,0.0764,0.2209,2,0.2322,0.1466,1,0.0806,0.283,1,0.0735,27.5656,1,0.0806,0.9442,1,0.0735,0.2359,1,0.0735,5.3652,2,0.0764,0.8957,1.0,0.0806
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,horizontal::stress,100.0,0.5,1.7412,3,0.1801,1746.1389,4,0.0885,0.2209,2,0.2612,0.4499,1,0.078,0.7348,1,0.078,78.2051,2,0.0804,0.6448,1,0.078,0.596,1,0.078,16.9649,1,0.078,,,0.0
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_1::mode_x,100.0,0.45,3.7785,5,0.0939,905.3086,2,0.0828,0.1954,3,0.1199,0.8634,2,0.0828,1.192,2,0.0828,194.3371,4,0.0828,-0.0003,2,0.0828,1.0002,2,0.0828,15.5936,3,0.1931,0.1055,3.0,0.0966
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,mode_shape_1::mode_y,100.0,0.45,1.741,3,0.0993,1529.1079,4,0.0888,0.1939,2,0.1258,0.8437,4,0.0888,1.3301,4,0.0888,156.6864,3,0.0878,-0.3009,4,0.0888,1.1406,4,0.0888,14.9776,1,0.1398,0.4215,2.0,0.1034
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_1::mode_z,100.0,0.45,3.7785,5,0.1081,905.3086,2,0.0891,0.1954,3,0.1559,0.9804,2,0.0891,1.213,2,0.0891,189.5592,4,0.0891,-0.0009,2,0.0891,1.0004,2,0.0891,8.0754,2,0.1001,0.1055,3.0,0.1013
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,M,mode_shape_2::mode_x,100.0,0.45,1.5457,2,0.0918,1050.2469,3,0.0805,0.2681,5,0.0959,0.9112,3,0.0805,1.1935,3,0.0815,163.1423,2,0.0847,-0.0441,3,0.0815,1.0218,3,0.0815,14.0478,4,0.2415,0.0323,3.0,0.0805
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,M,mode_shape_2::mode_y,100.0,0.45,3.7785,5,0.1054,860.2147,2,0.0962,0.1995,2,0.1108,0.6417,2,0.0962,1.1095,2,0.0962,181.8599,4,0.0962,-0.0006,2,0.0962,1.0003,2,0.0962,25.5657,2,0.1108,0.0147,4.0,0.0962
1,dimension_3d,evaluation,geofno,deepjeb_3d_2d,M,mode_shape_2::mode_z,100.0,0.45,1.5457,2,0.1089,1050.2469,3,0.0961,0.2681,5,0.1189,0.906,3,0.0961,1.1984,3,0.0961,160.6469,2,0.0993,-0.0522,3,0.0961,1.0258,3,0.0961,7.8352,3,0.0961,0.0323,3.0,0.0961
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::disp_x,100.0,0.5,1.7412,3,0.1494,1684.677,4,0.163,0.2124,1,0.1537,0.1098,3,0.0779,0.2275,3,0.0779,47.6263,2,0.0727,0.9599,3,0.0779,0.2002,3,0.0779,5.2997,2,0.0727,0.9725,2.0,0.0768
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::disp_y,100.0,0.5,1.7412,3,0.1254,1684.677,4,0.1763,0.2124,1,0.1279,0.1198,2,0.0795,0.2499,2,0.0795,51.2374,2,0.0795,0.9469,2,0.0795,0.2305,2,0.0795,7.5574,2,0.0795,0.9725,2.0,0.0932
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::disp_z,100.0,0.5,1.7412,3,0.1311,1684.677,4,0.2039,0.2124,1,0.153,0.1591,2,0.0734,0.2919,2,0.0734,59.0903,2,0.0734,0.9362,2,0.0734,0.2527,2,0.0734,5.1565,2,0.0715,0.9725,2.0,0.0734
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,torsion::stress,100.0,0.5,1.7412,3,0.16,1684.677,4,0.1271,0.2124,1,0.1907,0.3141,3,0.087,0.5737,3,0.087,87.8665,2,0.084,0.7429,3,0.087,0.5071,3,0.087,22.4883,5,0.0902,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,vertical::disp_x,100.0,0.5,1.7412,3,0.1507,1754.7863,4,0.0888,0.2224,2,0.2261,0.1395,1,0.0711,0.2655,1,0.0711,33.1953,1,0.0711,0.9484,1,0.0711,0.2261,1,0.0711,6.1209,3,0.1058,0.9447,2.0,0.0732
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,vertical::disp_y,100.0,0.5,1.7412,3,0.136,1754.7863,4,0.102,0.2224,2,0.153,0.206,2,0.0942,0.4061,3,0.0816,64.2448,2,0.0942,0.8689,3,0.0816,0.362,3,0.0816,8.055,3,0.0816,0.9447,2.0,0.0942
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,vertical::disp_z,100.0,0.5,1.7412,3,0.1249,1754.7863,4,0.0861,0.2224,2,0.1676,0.2241,2,0.0796,0.329,2,0.0796,45.7623,3,0.0838,0.9196,2,0.0796,0.2777,2,0.0796,4.7455,3,0.1011,0.9447,2.0,0.118
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,M,vertical::stress,100.0,0.5,1.7412,3,0.1732,1754.7863,4,0.0999,0.2224,2,0.2165,0.4399,1,0.0825,0.6928,1,0.0825,75.0928,1,0.0825,0.6818,1,0.0825,0.564,1,0.0825,19.4473,3,0.098,,,0.0
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::disp_x,100.0,0.5,1.4418,1,0.1691,769.7379,5,0.1137,0.2503,3,0.1118,0.42,2,0.0835,0.6837,2,0.0835,81.6279,1,0.09,0.5969,2,0.0835,0.6207,2,0.0835,9.3848,3,0.0912,0.8378,1.0,0.09
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::disp_y,100.0,0.5,1.4418,1,0.1618,769.7379,5,0.0864,0.2503,3,0.166,0.2841,1,0.0799,0.5097,1,0.0799,72.6765,3,0.0971,0.7934,1,0.0799,0.4545,1,0.0799,8.0357,2,0.0841,0.8378,1.0,0.0852
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::disp_z,100.0,0.5,1.4418,1,0.2322,769.7379,5,0.0942,0.2503,3,0.1182,0.2703,1,0.0783,0.3839,1,0.0783,45.674,1,0.0855,0.8801,1,0.0783,0.3301,1,0.0783,4.2748,1,0.0783,0.8378,1.0,0.0783
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,diagonal::stress,100.0,0.5,1.4418,1,0.1417,769.7379,5,0.0959,0.2503,3,0.1917,0.5363,1,0.0931,0.8221,1,0.0931,89.803,1,0.0931,0.521,1,0.0931,0.6847,1,0.0931,19.4236,1,0.1051,,,0.0
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,horizontal::disp_x,100.0,0.5,1.4418,1,0.2041,1251.5091,5,0.0904,0.2502,3,0.1241,0.2111,1,0.0791,0.4121,1,0.0791,45.8036,1,0.0791,0.8715,1,0.0791,0.35,1,0.0791,7.2947,2,0.1037,0.834,2.0,0.0822
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::disp_y,100.0,0.5,3.7788,5,0.1317,699.8498,3,0.0905,0.2228,1,0.1525,0.4495,2,0.0865,0.7226,3,0.0828,91.9774,2,0.0865,0.6156,3,0.0828,0.62,3,0.0828,11.4939,1,0.1073,0.8431,1.0,0.0966
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,horizontal::disp_z,100.0,0.5,1.4418,1,0.1341,1251.5091,5,0.0808,0.2502,3,0.1801,0.1917,1,0.0808,0.3648,1,0.0808,36.202,1,0.0876,0.9073,1,0.0808,0.3041,1,0.0808,6.4438,2,0.097,0.834,2.0,0.097
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,horizontal::stress,100.0,0.5,3.7788,5,0.1242,699.8498,3,0.0863,0.2228,1,0.2389,0.5817,3,0.0863,0.8917,3,0.0863,96.6656,3,0.0863,0.477,3,0.0863,0.7232,3,0.0863,18.9071,2,0.1194,,,0.0
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_1::mode_x,100.0,0.5,3.6681,4,0.148,409.3443,2,0.0907,0.1901,1,0.1125,0.8675,1,0.0721,1.1984,1,0.0721,182.0324,5,0.0721,-0.0111,1,0.0721,1.0055,1,0.0721,15.5629,2,0.2163,0.0916,5.0,0.0721
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_1::mode_y,100.0,0.5,3.6681,4,0.1395,409.3443,2,0.0923,0.1901,1,0.12,0.7933,1,0.0789,1.1697,1,0.0789,170.961,5,0.0822,-0.0061,1,0.0789,1.0031,1,0.0789,15.1659,4,0.1714,0.0916,5.0,0.0789
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_1::mode_z,100.0,0.5,3.6681,4,0.1794,409.3443,2,0.1042,0.1901,1,0.1196,0.9825,1,0.0788,1.2156,1,0.0788,182.4798,5,0.0788,-0.0052,1,0.0788,1.0026,1,0.0788,7.9961,1,0.1242,0.0916,5.0,0.0788
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,mode_shape_2::mode_x,100.0,0.5,1.4417,1,0.1576,834.9878,5,0.1126,0.2201,3,0.1051,0.9438,4,0.0798,1.2666,4,0.0798,149.8831,2,0.0798,-0.1759,4,0.0798,1.0844,4,0.0798,13.3558,1,0.137,0.4143,2.0,0.0888
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,mode_shape_2::mode_y,100.0,0.45,3.7785,5,0.1528,400.6859,2,0.1212,0.1981,2,0.1098,0.6782,2,0.0857,1.1849,3,0.0857,157.031,4,0.0857,-0.1413,3,0.0857,1.0683,3,0.0857,26.8949,3,0.0901,0.2912,3.0,0.0976
1,dimension_3d,evaluation,pointnet,deepjeb_3d_2d,S,mode_shape_2::mode_z,100.0,0.5,3.6681,4,0.1393,413.0404,3,0.1029,0.1919,1,0.1286,0.9005,1,0.0846,1.2139,1,0.0846,148.8371,3,0.1096,-0.0795,1,0.0846,1.039,1,0.0846,7.7117,1,0.0868,0.2758,4.0,0.0942
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::disp_x,100.0,0.5,1.4418,1,0.1575,1152.8183,5,0.1233,0.2404,3,0.1718,0.1322,1,0.0756,0.2473,1,0.0756,58.0659,1,0.0788,0.9526,1,0.0756,0.2177,1,0.0756,5.4857,1,0.0777,0.9545,2.0,0.0886
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::disp_y,100.0,0.5,1.4418,1,0.1808,1152.8183,5,0.1306,0.2404,3,0.1959,0.1536,2,0.0681,0.3126,2,0.0681,57.2462,2,0.0681,0.9169,2,0.0681,0.2882,2,0.0681,6.9277,1,0.0839,0.9545,2.0,0.0681
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,torsion::disp_z,100.0,0.5,1.4418,1,0.1702,1152.8183,5,0.1344,0.2404,3,0.1964,0.1974,2,0.073,0.3327,1,0.069,68.6942,2,0.073,0.9171,1,0.069,0.288,1,0.069,6.173,2,0.073,0.9545,2.0,0.073
1,dimension_3d,evaluation,transolver,deepjeb_3d_2d,S,torsion::stress,100.0,0.5,3.7788,5,0.1539,732.9015,3,0.1381,0.2167,2,0.1858,0.3561,2,0.0829,0.6247,2,0.0829,100.4702,2,0.0829,0.6951,2,0.0829,0.5521,2,0.0829,21.2249,5,0.1077,,,0.0
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,vertical::disp_x,100.0,0.5,1.4418,1,0.1857,895.4263,5,0.0941,0.2493,2,0.0955,0.1947,1,0.0857,0.3619,2,0.0825,46.8208,2,0.1096,0.9041,2,0.0825,0.3082,2,0.0825,7.2335,3,0.0891,0.9288,1.0,0.0928
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,vertical::disp_y,100.0,0.5,1.4418,1,0.2135,895.4263,5,0.0934,0.2493,2,0.1068,0.2785,2,0.0787,0.5059,2,0.0787,83.1836,3,0.0964,0.7965,2,0.0787,0.4511,2,0.0787,8.7912,2,0.0964,0.9288,1.0,0.0787
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,vertical::disp_z,100.0,0.5,1.4418,1,0.2267,895.4263,5,0.0883,0.2493,2,0.0945,0.2044,1,0.081,0.3665,1,0.081,36.7492,1,0.081,0.9002,1,0.081,0.3093,1,0.081,5.5524,3,0.0986,0.9288,1.0,0.0872
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,S,vertical::stress,100.0,0.5,1.4418,1,0.2227,895.4263,5,0.0994,0.2493,2,0.1856,0.5801,3,0.0819,0.8451,3,0.0819,96.1031,3,0.0819,0.5264,3,0.0819,0.6881,3,0.0819,20.9402,2,0.0831,,,0.0
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,XL,diagonal::disp_x,100.0,0.5,1.7412,3,0.1194,6636.7077,3,0.1194,0.2243,2,0.1651,0.2633,2,0.0802,0.4054,2,0.0802,59.8914,3,0.0877,0.8583,2,0.0802,0.3681,2,0.0802,7.2417,3,0.0985,0.9341,3.0,0.0891
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,XL,diagonal::disp_y,100.0,0.5,1.7412,3,0.1297,6636.7077,3,0.1297,0.2243,2,0.1807,0.1341,1,0.0843,0.2667,2,0.0723,44.5364,1,0.0778,0.9434,2,0.0723,0.2378,2,0.0723,7.3824,3,0.0992,0.9341,3.0,0.0816
1,dimension_3d,evaluation,transolver_pp,deepjeb_3d_2d,XL,diagonal::disp_z,100.0,0.5,1.7412,3,0.1182,6636.7077,3,0.1182,0.2243,2,0.1941,0.2381,3,0.0755,0.2942,3,0.0755,49.6572,4,0.0988,0.9296,3,0.0755,0.2529,3,0.0755,3.1935,2,0.0824,0.9341,3.0,0.0863
1,dimension_3d,evaluation,regdgcnn,deepjeb_3d_2d,XL,diagonal::stress,100.0,0.5,1.4418,1,0.1084,10127.5625,5,0.1084,0.2502,3,0.2331,0.3888,2,0.0818,0.6265,2,0.0818,69.9738,2,0.0818,0.7218,2,0.0818,0.5218,2,0.0818,18.5112,1,0.1413,,,0.0
