Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,86.5108,3.7787,1344.5494,0.1947,0.3747,0.5834,86.6982,0.6475,0.5158,9.6942,0.6522
2,transolver_pp,76.9704,1.7411,1758.8863,0.1934,0.3869,0.6118,82.1153,0.5984,0.5406,10.1681,0.7055
3,regdgcnn,52.4467,1.4418,2062.2524,0.2187,0.419,0.6509,81.1451,0.5469,0.576,10.0575,0.7271
4,pointnet,49.8533,3.6682,1242.4823,0.1905,0.5907,0.8931,128.2087,0.3229,0.7932,11.8727,0.3809
5,abupt,43.3877,8.7512,2650.199,0.2211,0.432,0.6663,91.6078,0.5745,0.5878,10.2763,0.7231
