Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,regdgcnn,97.8514,1.4418,769.7379,0.2503,0.3777,0.5998,72.4454,0.6978,0.5225,10.2797,0.8378
2,transolver,74.3902,3.7788,735.1508,0.2244,0.4021,0.616,75.9556,0.6896,0.5359,10.2416,0.8217
3,transolver_pp,67.387,1.7412,762.4015,0.3287,0.4265,0.6574,79.2501,0.6492,0.5725,10.8269,0.7867
4,pointnet,38.0137,3.6682,486.5716,0.2322,0.6007,0.9456,121.475,0.2611,0.825,13.0331,0.4367
5,geofno,37.332,1.5458,514.2687,0.3585,0.6359,0.9449,112.3254,0.2874,0.8236,13.1953,0.4283
