Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,atlasnet,100.0,28.7681,3676.0258,0.0058,0.6451,133.4961,30.9986,1.2633,119.3674,0.9982,0.0,0.0,0.0,0.0
2,pointflow,98.9975,0.6859,4979.0604,0.6738,0.6443,145.578,26.0038,3.6793,110.3896,0.9856,0.0,0.0,0.0,0.0
3,deepsdf,57.2239,2.1509,6796.527,1.1906,0.0974,525.305,457.8851,277.2259,425.7297,0.1959,0.0,0.0,0.0,0.0
4,gan3d,49.9177,74.9842,2538.3491,0.0108,0.6023,328.4407,233.6479,109.5072,341.9793,0.5786,0.0,0.0,0.0,0.0
5,diffusionpointcloud,42.7166,3.8798,236.6984,0.0538,0.7871,381.9704,128.0257,17.0911,149.3401,0.6811,0.0,0.0,0.0,0.0
6,shapegf,38.6667,4.8622,2281.8899,0.3878,0.7889,373.6662,373.206,98.4601,436.9078,0.2362,0.0,0.0,0.0,0.0
