Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,MMD-CD ↓,COV-CD ↑,1-NNA-CD ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,pointflow,100.0,1.4268,148843.1737,0.1298,0.6549,67.2838,3.951,1.7878,0.384,0.868,0.196,0.0752,0.454,0.232,0.0264,0.014
2,deepsdf,61.2961,2.1509,30358.9766,0.3929,0.6558,7.8039,5.6824,2.0365,0.102,1.0,0.174,0.0804,0.05,0.182,0.0209,0.004
3,gan3d,40.6505,74.9842,74594.5078,0.219,0.6114,232.48,52.6732,4.8426,0.038,1.0,0.0,0.0,0.0,0.0,0.0325,0.0691
4,atlasnet,40.4617,28.7681,1540.5066,0.0042,0.669,98.8415,37.6649,1.9642,0.144,1.0,0.0,0.0,0.0,0.0,0.0243,0.2628
5,shapegf,40.1629,4.8622,229.3511,0.2743,0.5652,323.1785,102.6595,7.9648,0.056,1.0,0.0,0.0,0.0,0.0,0.1177,0.5695
6,diffusionpointcloud,40.0,3.8798,260.0605,0.0199,0.6936,313.9014,96.9806,4.3961,0.01,1.0,0.0,0.0,0.0,0.0,0.1317,0.107
