Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,6839.9706,0.5283,0.2625,63.8584,4.585,1.7667,106.4737,0.9945,0.766,0.858,0.242,0.598,0.0073,0.0071
2,pointflow,62.9149,1.4268,243116.5013,0.2084,0.2733,125.1347,4.5612,1.6921,106.9115,0.9961,0.232,0.0976,0.378,0.276,0.0161,0.0117
3,atlasnet,40.9436,28.7681,2470.566,0.0049,0.2913,131.5409,22.5173,2.2967,128.2108,0.9943,0.0,0.0,0.0,0.0,0.0103,0.2341
4,diffusionpointcloud,40.2622,3.8798,518.5385,0.0302,0.3716,326.0688,48.6318,8.1198,116.674,0.8984,0.0,0.0,0.0,0.0,0.0504,0.1506
5,gan3d,40.0,74.9842,5666.9891,0.0382,0.1982,255.1067,23.1554,15.4514,133.0341,0.6716,0.0,0.0,0.0,0.0,0.0688,0.1076
6,shapegf,39.0,4.8622,137.9492,0.3877,0.292,404.9556,171.7673,216.8115,697.7773,0.2419,0.0,0.0,0.0,0.0,0.0563,0.2537
