Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑,Manifold-Δ ↓,Uniformity-Δ ↓
1,deepsdf,100.0,2.1509,11375.3756,0.5277,0.2664,73.6469,5.0837,1.9101,106.5431,0.9943,0.652,0.4952,0.306,0.4,0.01,0.0097
2,pointflow,55.8982,1.4268,517900.2538,0.2722,0.2746,120.5936,4.1806,1.6273,108.7862,0.9962,0.464,0.2636,0.328,0.454,0.0156,0.0201
3,diffusionpointcloud,42.4759,3.8798,945.4355,0.045,0.3261,213.1665,8.5129,2.9236,107.9673,0.9944,0.002,0.0004,0.134,0.002,0.022,0.0217
4,atlasnet,40.0,28.7681,1669.1798,0.005,0.2978,133.619,13.6803,1.5684,126.5707,0.9981,0.0,0.0,0.0,0.0,0.0135,0.2886
5,gan3d,39.0,74.9842,8735.7198,0.0373,0.2366,390.4983,173.2645,174.4032,382.9496,0.2003,0.0,0.0,0.0,0.0,0.0139,0.16
6,shapegf,39.0,4.8622,258.1898,0.3862,0.3664,305.1959,91.1353,44.9571,852.2481,0.481,0.0,0.0,0.0,0.0,0.0403,0.7803
