Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,16075.8332,3.5519,1.8326,129.4244,0.1263,15.1864,0.7776,0.7,0.3384,0.432,0.528
2,r1gan,67.447,23.951,5340.4944,0.0265,1.5579,68.3878,0.143,20.3939,0.7587,0.136,0.0392,0.054,0.104
3,wgan_gp,54.2133,23.9471,5101.5168,0.0363,1.4265,58.084,0.1243,20.666,0.774,0.112,0.03,0.026,0.068
4,vqvae,51.2108,4.8899,2917.1572,0.0272,1.3721,55.5819,0.1046,21.0859,0.797,0.544,0.2652,0.02,0.16
5,vae,41.1745,50.718,6988.5948,0.0274,1.2147,66.9911,0.0504,21.8765,0.8798,0.804,0.6204,0.0,0.128
6,lsgan,40.1364,39.0898,6172.8657,0.0199,1.3341,74.6713,0.1168,20.6321,0.8051,0.018,0.0036,0.0,0.01
7,dcgan,40.0905,23.951,4727.7427,0.0175,1.2823,101.5245,0.1185,20.7618,0.8179,0.0,0.0,0.0,0.0
8,gan,39.5476,76.3651,9310.2763,0.0387,1.6572,189.5438,0.1186,19.1285,0.8615,0.0,0.0,0.0,0.0
9,wgan_cp,39.4444,23.9471,1419.3519,0.0214,1.1297,330.5179,0.075,18.0937,0.8881,0.0,0.0,0.0,0.0
