Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,vae,100.0,50.718,1585.5059,0.0051,1.0429,103.1711,0.0199,22.3276,0.9873,0.222,0.0444,0.0,0.002
2,ddpm,70.2015,71.4391,2336.2081,1.5319,2.2046,180.4333,0.4208,12.5709,0.3642,0.002,0.0004,0.102,0.002
3,r1gan,40.5173,23.951,160.0916,0.0013,1.3069,130.25,0.0994,19.8976,0.8087,0.0,0.0,0.0,0.0
4,wgan_gp,40.2653,23.9471,109.4243,0.0019,1.3666,214.6276,0.0895,20.9695,0.7992,0.0,0.0,0.0,0.0
5,vqvae,40.0508,4.8899,175.3436,0.0072,1.3934,173.6755,0.074,21.5209,0.8399,0.0,0.0,0.0,0.0
6,dcgan,40.0469,23.951,656.1019,0.0065,1.2944,133.7962,0.0902,20.8287,0.8241,0.0,0.0,0.0,0.0
7,gan,39.6788,76.3651,2185.8731,0.0057,1.3118,255.1471,0.1506,13.5796,0.6474,0.0,0.0,0.0,0.0
8,wgan_cp,39.6526,23.9471,324.8096,0.0065,1.1709,284.1972,0.1161,18.5566,0.8838,0.0,0.0,0.0,0.0
9,lsgan,39.4444,39.0898,524.627,0.0071,1.0339,345.5407,0.0187,6.8527,0.9807,0.0,0.0,0.0,0.0
