Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,6821.0109,3.5365,1.6853,136.8438,0.1234,15.0493,0.7774,0.746,0.4568,0.132,0.522
2,vae,57.8436,50.718,3384.7363,0.0453,1.1148,101.0518,0.1207,17.5423,0.8959,0.02,0.004,0.0,0.002
3,vqvae,48.7795,4.8899,1380.6389,0.033,1.3991,116.691,0.0898,21.5796,0.8038,0.002,0.0004,0.0,0.002
4,wgan_gp,48.542,23.9471,3237.6557,0.0586,1.3127,136.0822,0.109,20.7969,0.7926,0.002,0.0004,0.0,0.002
5,r1gan,40.642,23.951,3034.8926,0.0664,1.3149,107.9506,0.1057,20.5626,0.7995,0.0,0.0,0.0,0.0
6,dcgan,40.4065,23.951,4468.358,0.1249,1.1878,125.9049,0.0764,20.5374,0.8371,0.0,0.0,0.0,0.0
7,gan,40.1697,76.3651,13611.0048,0.0882,1.2726,181.8387,0.0926,19.4994,0.8757,0.0,0.0,0.0,0.0
8,wgan_cp,40.1044,23.9471,1772.8912,0.1822,1.1519,277.4936,0.0574,18.6552,0.9404,0.0,0.0,0.0,0.0
9,lsgan,40.0,39.0898,2019.8114,0.0373,1.0111,356.6284,0.005,6.6789,0.9946,0.0,0.0,0.0,0.0
