Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,100.0,3.778,267.4507,0.8105,13.3522,22.2176,37.433,0.969,0.1698,893.7401,
2,transolver_pp,70.6031,1.7405,217.5731,0.9447,14.8253,24.553,39.5636,0.9622,0.1876,890.5306,
3,regdgcnn,48.6384,1.4414,812.5576,0.9198,14.8181,24.0107,37.5869,0.9638,0.1835,991.1524,
4,geofno,46.5288,1.5454,179.7896,0.8161,36.2133,55.7021,65.2574,0.8054,0.4257,1076.8459,
5,abupt,40.9663,8.7512,721.5985,0.8347,25.2266,45.2763,52.9782,0.8714,0.346,1041.8903,
6,pointnet,40.0,3.6678,78.6498,0.7941,65.9267,100.0494,103.6297,0.3722,0.7646,1151.1787,
