Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver_pp,100.0,1.7405,1036.4542,1.2213,0.1388,0.2401,47.0664,0.9422,0.2404,7.9495,
2,regdgcnn,70.4005,1.4414,1717.2041,0.7997,0.1152,0.1858,41.65,0.9654,0.1861,7.7225,
3,transolver,50.7114,3.778,944.5514,3.2172,0.1065,0.1786,41.4699,0.968,0.1788,7.2955,
4,abupt,42.1567,8.7512,2106.1776,0.8286,0.1799,0.3045,54.7623,0.9071,0.3049,7.6767,
5,geofno,41.676,1.5454,706.0444,4.1459,0.2848,0.4385,73.5568,0.8072,0.4391,8.6115,
6,pointnet,40.0,3.6678,781.4186,1.4483,0.4324,0.6888,91.5254,0.5244,0.6896,8.8149,
