Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,r1gan,100.0,23.951,2414.7744,0.0321,2.7356,311.0852,0.3043,12.0848,0.5977,0.0,0.0,0.0,0.0
2,vae,74.9851,50.718,4263.6347,0.0213,1.7563,201.1243,0.1512,13.8409,0.8467,0.0,0.0,0.0,0.0
3,wgan_gp,56.9498,23.9471,2387.4058,0.0377,2.6358,360.4285,0.2454,12.8728,0.6627,0.0,0.0,0.0,0.0
4,wgan_cp,51.0257,23.9471,723.9621,0.0208,1.1157,306.7881,0.0705,12.9865,0.925,0.0,0.0,0.0,0.0
5,dcgan,44.2421,23.951,2202.4498,0.0301,1.8065,348.5085,0.1239,12.2242,0.8842,0.0,0.0,0.0,0.0
6,vqvae,41.195,4.8899,724.0778,0.2562,1.9326,427.5121,0.1658,13.3479,0.814,0.0,0.0,0.0,0.0
7,gan,39.8979,76.3651,6553.0752,0.033,2.0488,355.4596,0.2668,8.9687,0.4723,0.0,0.0,0.0,0.0
8,ddpm,39.4251,71.4391,5191.8329,3.5486,2.6994,251.3046,0.5622,7.4875,0.1064,0.0,0.0,0.0,0.0
9,lsgan,38.8889,39.0898,3584.4312,0.0215,1.0116,427.5916,0.0069,6.8606,0.993,0.0,0.0,0.0,0.0
