Rank,domain,task,model,dataset,size,Unified Score,Graph Density,Parameters (M) (Value),Parameters (M) (Rank),Parameters (M) (Weight),Training Time (s) (Value),Training Time (s) (Rank),Training Time (s) (Weight),Inference Time (s) (Value),Inference Time (s) (Rank),Inference Time (s) (Weight),IS (Value),IS (Rank),IS (Weight),FID (Value),FID (Rank),FID (Weight),LPIPS (Value),LPIPS (Rank),LPIPS (Weight),PSNR (Value),PSNR (Rank),PSNR (Weight),MS-SSIM (Value),MS-SSIM (Rank),MS-SSIM (Weight),Precision (Value),Precision (Rank),Precision (Weight),Density (Value),Density (Rank),Density (Weight),Recall (Value),Recall (Rank),Recall (Weight),Coverage (Value),Coverage (Rank),Coverage (Weight)
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,L,100.0,0.4861,71.4391,8,0.1229,8767.7409,8,0.1124,3.5469,9,0.1031,1.7447,1,0.0702,136.0296,7,0.0684,0.1113,3,0.0848,15.5572,9,0.0856,0.8099,4,0.0693,0.698,1,0.0665,0.3116,1,0.0665,0.378,1,0.0848,0.478,1,0.0656
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,M,100.0,0.5,71.4391,8,0.1036,6821.0109,8,0.0978,3.5365,9,0.113,1.6853,1,0.0765,136.8438,6,0.0976,0.1234,1,0.0637,15.0493,8,0.1001,0.7774,1,0.0686,0.746,1,0.0704,0.4568,1,0.0704,0.132,1,0.0671,0.522,1,0.0713
1,dimension_2d,generation,vae,deepjeb_2d_2d,S,100.0,0.4722,50.718,7,0.0735,5619.8362,8,0.0802,0.0493,4,0.1008,1.0387,8,0.1007,101.9902,1,0.095,0.0169,8,0.0928,22.5483,1,0.0927,0.9888,9,0.0907,0.112,1,0.0713,0.0224,1,0.0713,0.0,2,0.0642,0.002,2,0.067
1,dimension_2d,generation,ddpm,deepjeb_2d_2d,XL,100.0,0.4861,71.4391,8,0.0986,16075.8332,9,0.0768,3.5519,9,0.1052,1.8326,1,0.0789,129.4244,7,0.0795,0.1263,3,0.0856,15.1864,9,0.0827,0.7776,2,0.093,0.7,2,0.078,0.3384,2,0.078,0.432,1,0.0727,0.528,1,0.071
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,L,100.0,0.5,71.4391,8,0.0815,9067.7578,8,0.0779,3.5631,9,0.0931,1.7697,7,0.1084,85.6065,1,0.0785,0.2839,3,0.0846,10.8812,8,0.0954,0.413,2,0.0737,0.57,1,0.0676,0.3696,1,0.0676,0.274,1,0.1038,0.238,1,0.0676
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,M,100.0,0.4861,71.4391,8,0.0887,6404.5825,8,0.0836,3.5422,9,0.0904,2.1828,4,0.1171,132.5149,1,0.0782,0.4264,1,0.0699,9.8628,8,0.1195,0.2109,1,0.0699,0.17,1,0.0665,0.0992,1,0.0665,0.146,1,0.0834,0.124,1,0.0665
1,dimension_2d,generation,vae,drivaernet_2d_2d,S,100.0,0.4861,50.718,7,0.044,5116.6379,7,0.0371,0.0343,2,0.043,1.7082,4,0.0342,212.6237,1,0.0524,0.1538,6,0.0384,13.9434,1,0.0535,0.8482,7,0.0399,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644,0.0,1,0.1644
1,dimension_2d,generation,ddpm,drivaernet_2d_2d,XL,100.0,0.5,71.4391,8,0.0852,16175.6151,9,0.0753,3.5396,9,0.1055,1.6683,8,0.097,83.9859,1,0.07,0.1649,8,0.0965,11.6682,8,0.1002,0.6397,4,0.0769,0.722,1,0.0709,0.4956,1,0.0709,0.178,1,0.0799,0.278,1,0.0717
2,dimension_2d,generation,vqvae,deepjeb_2d_2d,L,62.824,0.4861,4.8899,1,0.1229,1993.114,2,0.1124,0.032,2,0.1031,1.4444,2,0.0702,74.0815,1,0.0684,0.1009,5,0.0848,21.2937,2,0.0856,0.8027,3,0.0693,0.07,3,0.0665,0.016,3,0.0665,0.012,2,0.0848,0.026,3,0.0656
2,dimension_2d,generation,vae,deepjeb_2d_2d,M,57.8436,0.5,50.718,7,0.1036,3384.7363,6,0.0978,0.0453,3,0.113,1.1148,8,0.0765,101.0518,1,0.0976,0.1207,2,0.0637,17.5423,7,0.1001,0.8959,7,0.0686,0.02,2,0.0704,0.004,2,0.0704,0.0,2,0.0671,0.002,2,0.0713
2,dimension_2d,generation,ddpm,deepjeb_2d_2d,S,72.3909,0.4722,71.4391,8,0.0735,5463.9356,7,0.0802,3.5512,9,0.1008,1.7696,1,0.1007,158.9211,4,0.095,0.37,1,0.0928,13.1164,8,0.0927,0.4093,1,0.0907,0.026,2,0.0713,0.006,2,0.0713,0.136,1,0.0642,0.02,1,0.067
2,dimension_2d,generation,r1gan,deepjeb_2d_2d,XL,72.1496,0.4861,23.951,4,0.0986,8239.3787,6,0.0768,0.0305,2,0.1052,1.4515,3,0.0789,45.7154,1,0.0795,0.1265,2,0.0856,20.455,5,0.0827,0.7806,3,0.093,0.504,3,0.078,0.2124,3,0.078,0.162,2,0.0727,0.354,2,0.071
2,dimension_2d,generation,vae,drivaernet_2d_2d,L,57.9473,0.5,50.718,7,0.0815,6212.5246,5,0.0779,0.0466,6,0.0931,1.8481,6,0.1084,175.8653,2,0.0785,0.2033,7,0.0846,13.303,1,0.0954,0.7274,6,0.0737,0.02,2,0.0676,0.004,2,0.0676,0.0,3,0.1038,0.006,2,0.0676
