Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,vae,100.0,50.718,5368.237,0.0418,1.3734,157.307,0.0854,18.2458,0.9185,0.056,0.0112,0.0,0.001
2,ddpm,57.7878,71.4391,5327.8842,3.5499,2.2345,205.1128,0.4661,10.302,0.2579,0.013,0.003,0.068,0.01
3,wgan_gp,46.5291,23.9471,2114.7452,0.0521,1.4655,264.86,0.1733,16.4948,0.712,0.0,0.0,0.0,0.0
4,vqvae,44.6782,4.8899,748.7445,0.0397,1.511,250.5061,0.1373,16.9702,0.7695,0.0,0.0,0.0,0.0
5,wgan_cp,41.6357,23.9471,1310.9724,0.0543,1.1348,294.6587,0.1039,16.1324,0.8838,0.0,0.0,0.0,0.0
6,dcgan,40.6142,23.951,3431.9892,0.0795,1.5326,221.1564,0.1321,16.3302,0.8256,0.0,0.0,0.0,0.0
7,r1gan,39.8394,23.951,2036.7414,0.0391,1.2852,237.811,0.119,15.0205,0.8108,0.0,0.0,0.0,0.0
8,gan,39.5132,76.3651,12363.8465,0.0496,1.5396,267.4284,0.1838,12.1264,0.5846,0.0,0.0,0.0,0.0
9,lsgan,39.1667,39.0898,3479.1644,0.0485,1.0431,367.9832,0.0106,6.5873,0.9888,0.0,0.0,0.0,0.0
