Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,16125.7242,3.5458,1.7504,106.7052,0.1456,13.4273,0.7086,0.711,0.417,0.305,0.403
2,r1gan,56.6177,23.951,5485.8185,0.0305,2.1535,122.9306,0.2116,16.225,0.6757,0.068,0.0196,0.032,0.052
3,vae,52.4006,50.718,6976.4142,0.0232,1.5698,117.4596,0.1322,17.4916,0.7887,0.406,0.3116,0.002,0.07
4,wgan_gp,47.2933,23.9471,4977.1906,0.0356,2.1509,139.8872,0.191,16.4329,0.685,0.056,0.015,0.013,0.034
5,vqvae,45.8221,4.8899,2709.667,0.0265,1.8058,152.5878,0.157,16.9232,0.7658,0.272,0.1326,0.01,0.08
6,dcgan,40.2035,23.951,4703.4508,0.021,1.9575,196.8287,0.1697,16.4693,0.752,0.0,0.0,0.0,0.0
7,lsgan,40.1675,39.0898,8633.7137,0.0217,1.8294,175.1864,0.1672,16.3648,0.7495,0.009,0.0018,0.0,0.005
8,gan,39.8601,76.3651,9091.6791,0.0334,1.9362,235.6101,0.2251,15.1041,0.6464,0.0,0.0,0.0,0.0
9,wgan_cp,39.7222,23.9471,1397.0297,0.0208,1.1246,426.9819,0.0638,15.1096,0.9236,0.0,0.0,0.0,0.0
