Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,16175.6151,3.5396,1.6683,83.9859,0.1649,11.6682,0.6397,0.722,0.4956,0.178,0.278
2,vae,63.6268,50.718,6964.2335,0.0189,1.925,167.9282,0.214,13.1067,0.6976,0.008,0.0028,0.004,0.012
3,r1gan,45.7885,23.951,5631.1426,0.0345,2.749,177.4733,0.2802,12.0561,0.5926,0.0,0.0,0.01,0.0
4,vqvae,40.4334,4.8899,2502.1768,0.0258,2.2396,249.5937,0.2094,12.7605,0.7347,0.0,0.0,0.0,0.0
5,wgan_gp,40.3732,23.9471,4852.8643,0.035,2.8753,221.6905,0.2578,12.1998,0.5961,0.0,0.0,0.0,0.0
6,dcgan,40.3164,23.951,4679.1589,0.0245,2.6327,292.133,0.2209,12.1767,0.6861,0.0,0.0,0.0,0.0
7,lsgan,40.1987,39.0898,11094.5617,0.0235,2.3248,275.7016,0.2175,12.0974,0.6939,0.0,0.0,0.0,0.0
8,gan,40.1725,76.3651,8873.0819,0.0282,2.2151,281.6764,0.3316,11.0797,0.4314,0.0,0.0,0.0,0.0
9,wgan_cp,40.0,23.9471,1374.7075,0.0203,1.1196,523.4459,0.0525,12.1256,0.959,0.0,0.0,0.0,0.0
