Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,100.0,0.6859,13984.4834,0.7984,0.5883,66.0221,14.245,10.7144,120.9701,0.8478,0.068,0.0182,0.028,0.044
2,deepsdf,59.6144,2.1509,11893.4347,1.326,0.5447,32.3327,15.8698,12.1194,120.3764,0.8196,0.032,0.007,0.026,0.026
3,atlasnet,41.2631,28.7681,2680.0284,0.0122,0.5936,127.1804,43.01,2.7874,127.3198,0.9786,0.0,0.0,0.0,0.0
4,diffusionpointcloud,40.7458,3.8798,739.5412,0.0503,0.6507,372.3682,93.4189,4.9883,112.4686,0.9428,0.0,0.0,0.0,0.0
5,gan3d,40.5728,74.9842,5214.0248,0.0109,0.5199,287.6014,35.7522,11.6257,133.3079,0.8365,0.0,0.0,0.0,0.0
6,shapegf,40.0,4.8622,6519.4072,0.3879,0.5196,383.4601,68.9085,15.6266,275.4021,0.8064,0.0,0.0,0.0,0.0
