Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,80.3846,0.8711,15276.2751,0.8186,0.5874,139.426,21.1767,7.3731,113.9409,0.9114,0.031,0.0077,0.008,0.014
2,deepsdf,76.2001,2.1509,10053.3341,1.3661,0.5422,55.2152,21.2071,12.2351,122.0192,0.8132,0.017,0.0046,0.381,0.016
3,gan3d,43.7392,74.9842,2507.9928,0.0108,0.41,337.506,304.3862,150.1178,380.9118,0.4735,0.0,0.0,0.108,0.0
4,atlasnet,40.9425,28.7681,3812.0964,0.0042,0.5806,153.37,48.455,3.785,120.5335,0.9717,0.0,0.0,0.0,0.0
5,diffusionpointcloud,40.5484,3.8798,424.8314,0.0528,0.7398,424.9296,106.137,11.0046,141.3356,0.8149,0.0,0.0,0.0,0.0
6,shapegf,40.0,4.8622,2501.7086,0.3877,0.8321,376.4058,338.4272,82.1227,262.9225,0.2111,0.0,0.0,0.0,0.0
