Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MS-SSIM ↓,MV-FID ↓,FPD ↓,CD ↓,EMD ↓,F-Score ↑,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,pointflow,77.9555,0.6859,32510.9571,0.827,0.5964,56.7263,15.6048,10.6847,120.4924,0.8502,0.2974,0.1413,0.0694,0.286
2,deepsdf,70.3598,2.1509,20164.5762,1.3424,0.5379,33.1471,16.4462,13.8646,123.745,0.8176,0.053,0.014,0.065,0.038
3,atlasnet,44.2948,28.7681,3156.5499,0.0036,0.5841,110.0316,29.1909,2.6144,122.1683,0.9798,0.0,0.0,0.001,0.0
4,shapegf,40.5927,4.8622,5370.1629,0.3889,0.5942,351.8158,49.9814,6.238,137.7894,0.9271,0.0,0.0,0.0,0.0
5,gan3d,40.2798,74.9842,4973.5431,0.0109,0.5232,258.028,65.8886,11.7242,126.6774,0.8332,0.0,0.0,0.002,0.0
6,diffusionpointcloud,40.2009,3.8798,874.6798,0.0495,0.6372,359.9229,82.6219,4.3606,108.4112,0.9558,0.0,0.0,0.0,0.0
