Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,IS ↑,FID ↓,LPIPS ↑,PSNR ↑,MS-SSIM ↓,Precision ↑,Density ↑,Recall ↑,Coverage ↑
1,ddpm,100.0,71.4391,13002.0976,1.6176,1.737,133.508,0.2181,7.2678,0.3512,0.676,0.398,0.06,0.432
2,r1gan,58.3457,23.951,1463.8682,0.0025,2.0554,159.3413,0.2738,9.1144,0.324,0.006,0.0012,0.01,0.004
3,vqvae,51.2155,4.8899,3795.3391,0.0052,2.137,219.9245,0.1992,10.4756,0.4787,0.028,0.006,0.002,0.014
4,gan,39.9663,76.3651,7355.4079,0.0144,1.5116,143.9098,0.2887,9.0479,0.3755,0.002,0.0004,0.0,0.002
5,wgan_gp,39.9194,23.9471,1052.2072,0.0006,1.8616,174.7816,0.2343,9.7248,0.3666,0.012,0.0024,0.0,0.004
6,dcgan,39.4614,23.951,3180.8096,0.0255,1.3293,131.747,0.1782,8.9437,0.5798,0.036,0.0072,0.0,0.002
7,vae,39.3014,50.718,2988.8904,0.0055,1.4692,231.4812,0.1695,10.5992,0.4585,0.006,0.0012,0.0,0.002
8,lsgan,39.2857,39.0898,5102.6756,0.0153,1.214,141.9459,0.1872,8.9495,0.675,0.024,0.0048,0.0,0.002
9,wgan_cp,38.2857,23.9471,257.1881,0.0224,1.0471,321.4557,0.027,7.0717,0.9797,0.0,0.0,0.0,0.0
