Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,84.4549,3.7785,1424.139,0.1386,0.2981,0.5034,72.5156,0.6902,0.5042,6.3196,0.6987
2,transolver_pp,69.4924,1.741,1982.8411,0.1385,0.2891,0.5063,67.1204,0.6798,0.5071,6.4385,0.69
3,abupt,53.4347,8.7512,2832.9401,0.1629,0.2815,0.4875,67.5517,0.7034,0.4882,6.3598,0.7115
4,regdgcnn,43.9915,1.4417,3032.2289,0.1581,0.2963,0.5106,68.4691,0.6753,0.5114,6.4874,0.6866
5,pointnet,40.0,3.6681,1894.4528,0.1348,0.3788,0.6024,86.0297,0.5987,0.6032,6.954,0.6068
