Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,98.3198,3.7788,704.3731,0.2238,0.3192,0.5132,64.7084,0.7901,0.4334,10.3332,0.9126
2,transolver_pp,96.7997,1.7412,759.3616,0.4681,0.3228,0.5359,64.4784,0.7749,0.4536,9.6609,0.8967
3,regdgcnn,96.3851,1.4418,895.4263,0.2493,0.3144,0.5198,65.7142,0.7818,0.4392,10.6293,0.9288
4,pointnet,35.814,3.6682,570.3861,0.3255,0.6093,0.963,118.2911,0.2933,0.8187,14.7868,0.4525
5,geofno,33.9602,1.5458,497.2403,0.5232,0.6157,0.9178,115.6624,0.3784,0.7779,14.687,0.4761
