Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver_pp,100.0,1.7412,3383.6801,0.2213,0.3002,0.4705,62.78,0.8175,0.4087,9.5636,0.9005
2,transolver,62.5732,3.7788,2553.9346,0.2243,0.2918,0.4568,61.7796,0.8262,0.3966,9.2644,0.9072
3,regdgcnn,43.5336,1.4418,9711.9899,1.397,0.2894,0.4579,61.0414,0.8233,0.3979,9.0488,0.9144
4,pointnet,41.7849,3.6682,3017.1464,0.2196,0.4408,0.6974,80.7172,0.5966,0.6066,11.3251,0.8118
5,geofno,40.0,1.5458,3942.2422,0.3837,0.4763,0.7156,89.9626,0.5837,0.6227,11.7867,0.7134
