Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,100.0,3.7785,1079.9798,0.2535,0.8904,1.2106,165.2024,-0.0347,1.0172,13.0712,0.5235
2,transolver_pp,58.144,1.741,943.7959,0.2762,0.8851,1.2054,163.7848,-0.0257,1.0128,13.0386,0.1801
3,pointnet,49.8068,3.6681,794.9489,1.4088,0.8779,1.1901,198.6669,0.0,1.0,12.9535,0.007
4,regdgcnn,43.3421,1.4417,980.9074,0.3001,0.9138,1.2751,151.0059,-0.1493,1.071,13.4684,0.3301
5,geofno,41.8784,1.5457,844.0578,0.5482,0.9077,1.2281,159.6554,-0.0648,1.0319,13.4815,0.104
