Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAC,0.2659,regdgcnn,transolver,transolver_pp,pointnet,geofno
2,MaxAE,0.1424,transolver,transolver_pp,pointnet,geofno,regdgcnn
3,MAPE (%),0.1245,regdgcnn,geofno,transolver_pp,transolver,pointnet
4,MAE,0.1235,pointnet,transolver_pp,transolver,geofno,regdgcnn
5,R²,0.1154,transolver_pp,transolver,pointnet,geofno,regdgcnn
6,RMSE,0.1154,transolver,transolver_pp,pointnet,geofno,regdgcnn
7,Rel-L2,0.1128,transolver,transolver_pp,pointnet,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,geofno,pointnet,transolver,regdgcnn,transolver_pp
