Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MAC,0.1539,regdgcnn,geofno,transolver,transolver_pp,pointnet
2,MaxAE,0.1488,transolver_pp,pointnet,transolver,geofno,regdgcnn
3,MAE,0.1483,transolver,pointnet,transolver_pp,geofno,regdgcnn
4,MAPE (%),0.1431,regdgcnn,geofno,transolver_pp,transolver,pointnet
5,R²,0.1357,transolver,pointnet,transolver_pp,geofno,regdgcnn
6,RMSE,0.1351,transolver,pointnet,transolver_pp,geofno,regdgcnn
7,Rel-L2,0.1351,transolver,pointnet,transolver_pp,geofno,regdgcnn
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,regdgcnn,pointnet,transolver_pp,transolver
10,Inference Time (s),0.0,geofno,transolver_pp,pointnet,transolver,regdgcnn
