Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,100.0,3.7785,2744.116,0.2683,0.878,1.1905,192.3745,-0.0006,1.0003,12.9637,0.1055
2,transolver_pp,54.752,1.741,2130.2545,0.3247,0.8801,1.1923,177.5309,-0.0035,1.0017,12.9156,0.0162
3,pointnet,49.0698,3.6681,1307.6519,0.559,0.8779,1.1901,199.4337,0.0,1.0,12.9523,0.0041
4,regdgcnn,45.1726,1.4417,2085.705,0.2236,0.9001,1.2357,156.902,-0.0783,1.038,13.3832,0.1505
5,geofno,41.9284,1.5457,959.9433,0.1922,0.9043,1.2227,160.9185,-0.0553,1.0272,13.1168,0.0955
