Rank,Metric,Weight,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
1,MaxAE,0.3131,pointnet,transolver_pp,geofno,transolver,regdgcnn
2,MAPE (%),0.1173,transolver_pp,regdgcnn,transolver,geofno,pointnet
3,Rel-L2,0.1139,pointnet,geofno,transolver,regdgcnn,transolver_pp
4,R²,0.1139,pointnet,geofno,transolver,regdgcnn,transolver_pp
5,RMSE,0.1139,pointnet,geofno,transolver,regdgcnn,transolver_pp
6,MAE,0.1139,pointnet,geofno,transolver,regdgcnn,transolver_pp
7,MAC,0.1139,transolver_pp,regdgcnn,transolver,geofno,pointnet
8,Parameters (M),0.0,regdgcnn,geofno,transolver_pp,pointnet,transolver
9,Training Time (s),0.0,geofno,pointnet,transolver,transolver_pp,regdgcnn
10,Inference Time (s),0.0,pointnet,regdgcnn,transolver,geofno,transolver_pp
