Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,86.5162,3.7787,4564.955,0.5895,0.4194,0.6413,95.7696,0.6065,0.5489,11.1008,0.635
2,transolver_pp,85.8334,1.7411,4222.8784,0.3728,0.4213,0.6405,93.0423,0.6066,0.5484,10.9204,0.6235
3,regdgcnn,78.73,1.4418,4782.5579,0.3854,0.424,0.6565,84.6026,0.5701,0.5621,11.4496,0.716
4,geofno,40.0635,1.5458,2728.3834,0.5611,0.5813,0.8565,115.3103,0.3995,0.7342,13.6516,0.4812
5,pointnet,39.4404,3.6682,3792.6626,0.5037,0.6133,0.927,132.9566,0.319,0.7941,13.1384,0.4144
