Rank,Model,Total Score,Parameters (M) ↓,Training Time (s) ↓,Inference Time (s) ↓,MAE ↓,RMSE ↓,MAPE (%) ↓,R² ↑,Rel-L2 ↓,MaxAE ↓,MAC ↑
1,transolver,85.5129,3.7787,14994.6003,0.6978,0.3634,0.5557,85.7774,0.6576,0.4753,10.8717,0.6567
2,transolver_pp,79.1647,1.7411,13509.0138,0.381,0.3681,0.5599,86.8451,0.6559,0.479,10.6612,0.6501
3,regdgcnn,69.4399,1.4418,12566.93,0.3311,0.3949,0.6061,77.5873,0.5841,0.5181,10.7126,0.7887
4,pointnet,48.4299,3.6682,13937.8252,0.7239,0.4508,0.6844,101.8612,0.5705,0.5861,11.2756,0.6119
5,geofno,38.3051,1.5458,9114.2808,0.4727,0.4529,0.6782,95.965,0.5686,0.5805,13.0772,0.6236
